STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Notre-Dame-de-Grâce / Westmount,Westmount,45.4804701,-73.6112161,de Bleury / de Maisonneuve,Ville-Marie,45.5070965,-73.5684416,1653343943270,1653345213193
Bourget / St-Jacques,Le Sud-Ouest,45.4808458,-73.5838616,de la Côte St-Paul / St-Ambroise,Le Sud-Ouest,45.4676657,-73.5939178,1653343945405,1653344597625
Milton / Durocher,Le Plateau-Mont-Royal,45.508141,-73.57493,St-Catherine / St-Laurent,Ville-Marie,45.5099315,-73.5638067,1653343947922,1653344758307
Métro Guy-Concordia (Guy / St-Catherine),Ville-Marie,45.495045,-73.57783,Crescent / René-Lévesque,Ville-Marie,45.4959617,-73.5732535,1653343957434,1653344103543
St-André / Cherrier,Le Plateau-Mont-Royal,45.520524,-73.567697,Hogan / Ontario,Ville-Marie,45.535295,-73.55116,1653343949642,1653344797967
Parc du Pélican (2e avenue / St-Joseph),Rosemont - La Petite-Patrie,45.544513,-73.571564,1ère avenue / Rosemont,Rosemont - La Petite-Patrie,45.5478,-73.584867,1653343947180,1653344213060
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,45.5319579,-73.607001,Métro Champ-de-Mars (Viger / Sanguinet),Ville-Marie,45.510351,-73.556508,1653343948663,1653344935582
Métro Parc  (Hutchison / Ogilvy),Villeray - Saint-Michel - Parc-Extension,45.5303513,-73.6243924,Drolet / Gounod,Villeray - Saint-Michel - Parc-Extension,45.540951,-73.626375,1653343948603,1653344386946
Mozart / St-Laurent,Rosemont - La Petite-Patrie,45.53318,-73.61544,Chabot / Villeray,Villeray - Saint-Michel - Parc-Extension,45.5522894,-73.6130065,1653343951028,1653344527771
Vallières / St-Laurent,Le Plateau-Mont-Royal,45.518967,-73.583616,Waverly / St-Zotique,Rosemont - La Petite-Patrie,45.530505,-73.614708,1653343961319,1653344658989
Laurier / de Bordeaux,Le Plateau-Mont-Royal,45.537205,-73.579254,Chabot / du Mont-Royal,Le Plateau-Mont-Royal,45.534185,-73.573589,1653343965432,1653344097884
Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.527201,-73.564729,de Bordeaux / Masson,Le Plateau-Mont-Royal,45.538984,-73.582445,1653343958077,1653344681363
Milton / Durocher,Le Plateau-Mont-Royal,45.508141,-73.57493,Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,1653343958215,1653345840537
Brittany / Ainsley,Mont-Royal,45.5258899,-73.6500344,Graham / Kindersley,Mont-Royal,45.51405,-73.6472556,1653343958673,1653345109328
