code,name,latitude,longitude
6503,Métro Parc  (Hutchison / Ogilvy),45.5303513,-73.6243924
6504,La Ronde,45.5215654,-73.5353324
6415,de Melrose / Sherbrooke,45.4698198,-73.6169614
6417,de la Salle / Hochelaga,45.5541523,-73.5474935
6418,Paré / Mountain Sights,45.4981003,-73.6529419
6421,Cartier / Rosemont,45.5412472,-73.5910445
6416,Notre-Dame-de-Grâce / Décarie,45.4773533,-73.6153722
6419,Beaucourt / de la Côte-Ste-Catherine,45.491513,-73.633649
6423,Hôpital général juif (de la Côte Ste-Catherine / Légaré),45.496302,-73.629822
6420,Métro Snowdon (de Westbury / Queen-Mary),45.4853847,-73.6281422
6422,Fleury / Lajeunesse,45.5535789,-73.6620829
6410,Métro Crémazie (Crémazie / Lajeunesse),45.5464075,-73.6384284
6412,Complexe sportif Claude-Robillard,45.553262,-73.638615
6413,Square Phillips (Union / Cathcart),45.5034449,-73.5685408
6414,Parc St-Henri (Laporte / Guay),45.4801338,-73.5859081
6425,Métro de l'Église (Ross / de l'Église),45.462846,-73.5659216
6426,Métro Verdun (Willibrord / de Verdun),45.4594877,-73.5720921
6427,Métro Lasalle (de Rushbrooke / Caisse),45.4706964,-73.5654224
6429,Place du Commerce,45.46714,-73.54259
6411,Clark / Prince-Arthur,45.5133026,-73.5729611
6428,Berlioz / de l'Île des Soeurs,45.4599858,-73.5439557
6281,St-Hubert / St-Joseph,45.5280879,-73.5858625
6432,de Maisonneuve / Greene,45.4869706,-73.5892931
6433,Hillside / Ste-Catherine,45.482826,-73.5908434
6434,Victoria / de Maisonneuve,45.4774286,-73.6001694
6435,Victoria Hall,45.4812915,-73.6003304
6436,de la Côte St-Antoine / Argyle,45.486241,-73.5957277
5002,St-Charles / Montarville,45.533682,-73.5152607
5003,Place Longueuil,45.5284104,-73.5171658
5004,St-Charles / Grant,45.539824,-73.508752
5005,St-Charles / St-Sylvestre,45.5366559,-73.5122328
5006,Collège Édouard-Montpetit (de Gentilly / de Normandie),45.537226,-73.4950671
5007,Métro Longueuil - Université de Sherbrooke,45.5233187,-73.5201269
6929,St-Grégoire / St-André,45.5314746,-73.5924205
6930,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),45.5598424,-73.6154473
6700,de la Salle / Ste-Catherine,45.5499633,-73.5344338
6701,Stanley / Sherbrooke,45.5010411,-73.5771775
6702,Métro Assomption (Chauveau / de l'Assomption),45.569789,-73.548081
6703,Jardin Botanique (Pie-IX / Sherbrooke),45.554947,-73.5552947
6704,19e avenue / St-Zotique,45.561594,-73.585643
6705,5e avenue / Bannantyne,45.456365,-73.57614
6706,Beatty / de Verdun,45.45073,-73.5725749
6707,Métro Jolicoeur (de Sève / Drake),45.4560855,-73.5819371
6708,de Bleury / de Maisonneuve,45.5070965,-73.5684416
6709,Parc St-Paul (Le Caron / Marc-Sauvalle),45.461765,-73.5842116
6710,Chambord / Fleury,45.5598281,-73.6583251
6711,Mozart / Waverly,45.5315237,-73.6170124
6712,LaSalle / Crawford,45.4379138,-73.5827404
6713,29e avenue / St-Zotique,45.5677657,-73.5796881
6714,LaSalle / 90e avenue,45.4171507,-73.6442435
6715,Natatorium (LaSalle / Rolland),45.444547,-73.5750908
6716,Francis / Fleury,45.5638724,-73.6555678
6717,de Kent / Victoria,45.494564,-73.638702
6718,Grand Boulevard / Sherbrooke,45.466569,-73.623295
6719,Park Row O / Sherbrooke,45.4607294,-73.6340725
6720,Ontario / Viau,45.5594818,-73.535496
6721,Métro Cadillac (de Cadillac / Sherbrooke),45.5769632,-73.5468364
6722,de la Pépinière / Pierre-de-Coubertin,45.5762592,-73.5383123
6723,26e avenue / Beaubien,45.5648559,-73.5774927
6724,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4716686,-73.5826439
6725,Métro Monk (Allard / Beaulieu),45.4510309,-73.5939011
6726,Hamel / Sauvé,45.5607619,-73.6505614
6727,Richardson / de Montmorency,45.4849802,-73.5603333
6728,d'Outremont / Ogilvy,45.5268703,-73.6267233
6729,St-André / Ste-Catherine,45.5164265,-73.5581124
6730,35e avenue / Beaubien,45.570081,-73.573047
6733,de Normanville / Villeray,45.5471698,-73.618041
6732,Fortune / Wellington,45.477923,-73.559038
6731,28e avenue / Rosemont,45.564353,-73.571244
6734,St-Gérard / Villeray,45.5426454,-73.6224445
6736,Métro Henri-Bourassa (Henri-Bourassa / Millen),45.556751,-73.6671616
6737,Jacques-Casault / Christophe-Colomb,45.552123,-73.630103
6735,Villeray / St-Michel,45.5610593,-73.6039674
6738,Union / René-Lévesque,45.5023504,-73.5665828
6739,Pierre-de-Coubertin / Langelier,45.5803145,-73.5353136
6741,Canning / Notre-Dame,45.4863186,-73.5702333
6742,St-Patrick / Briand,45.4633973,-73.5964358
6743,St-Marc / Sherbrooke,45.494514,-73.583368
6744,Hamilton / Jolicoeur,45.4567028,-73.5976427
6745,Bloomfield / Jean-Talon,45.5274603,-73.6241752
